idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
107414,-0.02,0.027,0.02,-66.3,-44.2,2.4,1.125,199.125,-5.188,54.462,30.167,159.691,43.867,5.03,31444.75,12158.58
107415,-0.025,0.031,0.029,-59.9,-44.6,-1.1,3.188,194.688,-6.438,46.848,30.657,156.559,43.876,4.95,31359.54,12190.38
107416,-0.015,0.029,0.023,-53.7,-42.1,-3.5,4.5,190.375,-5.5,51.34,21.327,159.423,43.87,4.94,31273.98,12221.85
107417,-0.006,0.03,0.023,-47.4,-44,-0.3,4.188,184.875,-3.438,52.253,8.701,152.888,43.92,4.91,31195.93,12252.79
107418,-0.029,0.02,0.02,-45.6,-44.7,7.4,2.312,181.312,-3.25,46.397,45.971,144.8,43.871,4.91,31112.57,12281.97
107419,-0.012,0.026,0.023,-46.5,-44.8,11.2,1.688,178,-3.875,48.366,18.376,143.923,43.88,4.86,31031.36,12312.67
107420,-0.013,0.02,0.024,-51.9,-43.4,15,2.75,176.5,-4,40.03,21.711,141.7,43.892,4.8,30943.08,12346.27
107421,-0.006,0.027,0.032,-58.2,-44.1,17.7,2.812,174.062,-3.25,40.314,7.893,142.951,43.881,4.81,30870.65,12373.06
107422,-0.017,0.015,0.029,-63.2,-44.1,17.4,3.375,171.375,-2.125,26.565,26.878,140.968,43.885,4.77,30797.94,12400.67
107423,-0.012,0.02,0.032,-67.3,-43.2,14.8,2.625,167.812,-1.688,31.218,17.275,146.401,43.894,4.76,30727.28,12427.77
107424,-0.007,0.018,0.035,-69.7,-43.6,8.2,2.25,164.25,-1.875,26.565,9.866,148.91,43.897,4.75,30651.21,12456.74
107425,-0.006,0.017,0.034,-69.2,-43,4.8,1.938,158.375,-2.562,25.907,8.766,149.99,43.9,4.72,30579.16,12484.28
107426,-0.004,0.009,0.034,-66.4,-43.4,0.5,1.75,153.812,-3.625,14.421,6.316,147.873,43.901,4.75,30509.56,12510.89
107427,0.002,0.018,0.032,-61.6,-43.5,-2.8,1.375,147.562,-3.062,28.61,-3.046,148.562,43.904,4.72,30441.83,12536.9
107428,0.01,0.009,0.036,-55.5,-43.9,-2,2.375,141.688,-3.375,13.671,-14.714,140.156,43.897,4.78,30376.56,12561.67
107429,0.002,0.006,0.031,-51.5,-44.3,-1.6,2.938,134.688,-3.125,10.62,-3.515,139.595,43.894,4.78,30306.78,12588.41
107430,0.009,0.01,0.038,-48.5,-43.7,2.8,3.5,128.375,-3.375,14.381,-12.601,136.636,43.892,4.87,30250.79,12609.9
107431,0.007,0.005,0.04,-46.7,-43.4,3.6,3.688,122.312,-3.062,6.953,-9.619,136.441,43.902,4.88,30176.17,12639.14
107432,0.009,0.005,0.035,-46.7,-43.9,9.2,4.188,118.125,-2.625,7.907,-13.908,135.834,43.926,4.91,30119.28,12662.15
107433,0.01,0.002,0.044,-46.9,-44.5,11.1,3.688,114.625,-2.188,2.545,-12.517,136.737,43.921,4.96,30062.84,12683.9
107434,0.017,0.002,0.044,-49.8,-43.6,13.3,4.375,110.812,-1.438,2.545,-20.677,138.896,43.917,4.97,30005.3,12706.12
107435,0.009,0.002,0.043,-52.5,-43.9,15.9,4.375,107.562,-1.375,2.603,-11.549,140.574,43.903,4.97,29946.57,12728.46
107436,0.014,0.004,0.045,-55.6,-43.8,17.1,4,104.25,-0.875,4.97,-16.867,141.662,43.932,5.01,29891.03,12751.37
107437,0.014,-0.002,0.042,-59,-43.1,17.9,2.75,100.812,-0.438,-2.663,-18.016,145.855,43.928,4.99,29834.96,12773.18
107438,0.006,-0.008,0.043,-61.5,-43.4,17.9,2.25,96.875,-0.375,-10.305,-7.641,148.45,43.915,5.02,29782.12,12793.43
107439,0.013,-0.003,0.042,-64.8,-44.8,15.9,2.875,94,-0.75,-3.991,-16.783,147.157,43.93,4.97,29732.75,12813.45
107440,0.012,-0.007,0.043,-66.4,-43.3,13,2.375,91.062,-0.125,-9.039,-15.074,149.534,43.926,4.9,29684.32,12832.4
107441,0.024,-0.001,0.042,-67.3,-42.7,12.9,2.125,88.188,-0.75,-1.332,-30.167,146.957,43.923,4.85,29633.42,12852.41
107442,0.016,-0.006,0.044,-68.5,-44.1,9.4,1.312,86.125,-1.062,-7.595,-19.414,148.622,43.907,4.79,29583.31,12871.59
107443,0.014,-0.007,0.041,-68,-43.5,6.6,0.375,84.375,-1.375,-9.462,-18.201,148.729,43.912,4.74,29537.85,12889.84
107444,0.02,-0.014,0.044,-67.3,-43.1,4.3,-0.125,82.688,-1.875,-17.281,-22.995,149.815,43.928,4.56,29492.16,12908.64
107445,0.019,-0.014,0.039,-65.3,-43.1,2.7,-0.125,81.562,-2.438,-19.29,-24.148,149.089,43.934,4.5,29445.67,12927.41
107446,0.016,-0.014,0.042,-63.4,-43.6,2.1,-0.375,80.375,-2.75,-18.034,-19.484,147.854,43.935,4.39,29400.39,12945.53
107447,0.02,-0.013,0.041,-61.9,-42.7,-0.8,-0.625,78.5,-2.938,-17.199,-24.461,146.187,43.916,4.26,29359.96,12960.92
107448,0.018,-0.019,0.04,-59,-43.5,0,-0.5,76.938,-3.75,-24.864,-21.719,147.343,43.919,4.24,29321.28,12976.51
107449,0.015,-0.016,0.041,-58.3,-42.8,-0.3,0.312,74.875,-3.75,-20.854,-18.456,146.258,43.925,4.1,29284.94,12991.34
107450,0.018,-0.017,0.041,-55.8,-43.9,-2,-0.5,73.188,-4.375,-22.036,-21.666,144.101,43.943,4.03,29246.23,13007.6
107451,0.018,-0.017,0.043,-52.9,-43.4,-1.8,0.5,70.938,-4.875,-21.125,-20.887,142.908,43.921,3.97,29200.23,13025.2
107452,0.02,-0.02,0.043,-53,-43.6,0.9,0.938,69.688,-4.562,-24.444,-23.485,144.987,43.924,3.92,29167.73,13038.42
107453,0.026,-0.019,0.04,-50.9,-42.8,0.1,1.75,67.438,-4.688,-24.864,-30.858,143.785,43.929,3.95,29135.68,13051.56
107454,0.025,-0.021,0.041,-50.5,-43.4,2.5,1.625,65.75,-4.625,-27.646,-28.739,145.879,43.938,3.86,29096.2,13067.88
